DEC	CHAR	DESC
223	ß	s minúscula (alemán) / Beta minúscula 
224	à	a minúscula con acento grave
225	á	a minúscula con acento agudo
226	â	a minúscula con acento circunflejo
227	ã	a minúscula con tilde
228	ä	a minúscula con diéresis
229	å	a minúscula con anillo
230	æ	diptongo ae minúscula (ligadura)
231	ç	c cedilla minúscula
232	è	e minúscula con acento grave
233	é	e minúscula con acento agudo
234	ê	e minúscula con acento circunflejo
235	ë	e minúscula con diéresis
236	ì	i minúscula con acento grave
237	í	i minúscula con acento agudo
238	î	i minúscula con acento circunflejo
239	ï	i minúscula con diéresis 
240	ð	eth islandesa minúscula
241	ñ	eñe minúscula / n minúscula con tilde
242	ò	o minúscula con acento grave
243	ó	o minúscula con acento agudo
244	ô	o minúscula con acento circunflejo
245	õ	o minúscula con tilde
246	ö	o minúscula con diéresis
247	÷	signo de división 
248	ø	o barrada minúscula
249	ù	u minúscula con acento grave
250	ú	u minúscula con acento agudo
251	û	u minúscula con acento circunflejo
252	ü	u minúscula con diéresis
253	ý	y minúscula con acento agudo
254	þ	thorn islandesa minúscula
255	ÿ	y minúscula con diéresis 
338	Œ	OE mayúscula (ligadura)
339	œ	oe minúscula (ligadura)
352	Š	S mayúscula con caron
353	š	s minúscula con caron / acento hacek
376	Ÿ	Y mayúscula con diéresis
402	ƒ	f minúscula itálica / signo de función 
8211	–	raya corta
8212	—	raya larga
8216	‘	comilla izquierda - citación
8217	’	comilla derecha - citación
8218	‚	comilla de citación - baja
8220	“	comillas de citación - arriba izquierda
8221	”	comillas de citación - arriba derecha
8222	„	comillas de citación - abajo
8224	†	cruz
8225	‡	doble cruz
8226	•	viñeta / bullet
8230	…	puntos suspensivos
8240	‰	signo de pro mil
8364	€	signo de euro
8482	™	signo de marca registrada / trade mark 
